name,admin_0,admin_1,admin_2,name_raw,is_admin_0_union
Kingsborough Community College,Manhattan Beach,Manhattan Beach,Kingsborough Community College,Kingsborough Community College (MANHATTAN BEACH),False
Long Island University,Long Island University,Long Island University,Long Island University,Long Island University,False
Manhattan Beach,Manhattan Beach,Manhattan Beach,Manhattan Beach,Manhattan Beach,False
Mapleton,Bensonhurst,Bensonhurst,Mapleton,Mapleton (Bensonhurst),False
Marine Park,Marine Park,Marine Park,Marine Park,Marine Park,False
Menorah Center MJHS,Manhattan Beach,Manhattan Beach,Menorah Center MJHS,Menorah Center MJHS (MANHATTAN BEACH),False
Midwood,Midwood,Midwood,Midwood,Midwood,False
Mill Basin,Mill Basin,Mill Basin,Mill Basin,Mill Basin,False
Mott Haven,Mott Haven,Mott Haven,Mott Haven,Mott Haven,False
MTA Flatbush Bus Depot,MTA Flatbush Bus Depot,MTA Flatbush Bus Depot,MTA Flatbush Bus Depot,MTA Flatbush Bus Depot,False
MTA Spring Creek Bus Depot,East New York,East New York,MTA Spring Creek Bus Depot,MTA Spring Creek Bus Depot (EAST NEW YORK),False
National Grid Depot,Williamsburg,East Williamsburg,National Grid Depot,National Grid Depot (EAST WILLIAMSBURG)(WILLIAMSBURG)),False
Newton Creek Wastewater Treatment Plant,Greenpoint,Greenpoint,Newton Creek Wastewater Treatment Plant,Newton Creek Wastewater Treatment Plant (GREENPOINT),False
NYC Ferry Homeport Pier C,Brooklyn Navy Yard,Brooklyn Navy Yard,NYC Ferry Homeport Pier C,NYC Ferry Homeport Pier C (BROOKLYN NAVY YARD),False
"NYC Sanitation Department Garage 9,10,11",Castle Hill,Castle Hill,"NYC Sanitation Department Garage 9,10,11","NYC Sanitation Department Garage 9,10,11 (CASTLE HILL)",False
NYPD and DSNY Training Facility,Floyd Bennet Field,Floyd Bennet Field,NYPD and DSNY Training Facility,NYPD and DSNY Training Facility (FLOYD BENNET FIELD),False
Oceana,Brighton Beach,Brighton Beach,Oceana,Oceana (BRIGHTON BEACH) (GATED COMMUNITY),False
NYPD Harbour Unit,Sunset Park,Sunset Park,NYPD Harbour Unit,NYPD Harbour Unit (SUNSET PARK),False
Ocean Hill Bed-Stuy,Bed-Stuy,Bed-Stuy,Ocean Hill Bed-Stuy,Ocean Hill Bed-Stuy (BED-STUY),False
Ocean Hill Brownsville,Brownsville,Brownsville,Ocean Hill Brownsville,Ocean Hill Brownsville (BROWNSVILLE),False
Old Mill Basin,Mill Basin,Mill Basin,Old Mill Basin,Old Mill Basin (MILL BASIN),False
Owls Head Wastewater Treatment Plant,Owls Head Wastewater Treatment Plant,Owls Head Wastewater Treatment Plant,Owls Head Wastewater Treatment Plant,Owls Head Wastewater Treatment Plant,False
Ozone Park Carrier Annex- Post Office,East New York,East New York,Ozone Park Carrier Annex- Post Office,Ozone Park Carrier Annex- Post Office (EAST NEW YORK),False
Park Slope,Park Slope,Park Slope,Park Slope,Park Slope,False
Pier K,Brooklyn Navy Yard,Brooklyn Navy Yard,Pier K,Pier K (BROOKLYN NAVY YARD),False
